"La fecha de entrega tu pedido depende de diversos factores. Si tu pedido es nacional, se entregará en un plazo de entre 24 y 48 horas. Si tu pedido es importado, el proveedor debe proporcionar una fecha de entrega que puede ir desde una semana hasta 2 meses dependiendo de las políticas de importación y exportación de ambos paises."
"Si tu paquete ha sido marcado como entregado pero tú no lo recibiste, asegurate de revisar con algún recepcionista o vigilante; es muy común que los repartidores dejen los paquetes con estos. Si estás seguro de que tu paquete no fue entregdo, comunícate a nuestra línea de asistencia contra robo para poder reportar esta entrega. Si el repartidor fue responsable, se realizará una devolución completa de tu pedido."
"La mayoría de los paquetes llegan a tiempo, pero, a veces, el rastreo puede aparecer como ""entregado"" sin que hayas recibido tu paquete."
"Verifica la dirección de envío. Busca un mensaje que indica que no pudimos encontrarte. Revisa el entorno del punto de entrega. Verifica si otra persona aceptó la entrega, a menos que tu salud o seguridad se pongan en riesgo al hacerlo. Algunos paquetes pasan por más de un transportista. Consulta tu buzón u otros lugares donde recibes correo. Espera 48 horas. En algunos casos, los paquetes pueden marcarse como entregados hasta 48 horas antes de la entrega. Si no has recibido tu paquete en un plazo de 30 días posteriores a la entrega prevista, contáctanos y haremos todo lo posible para ayudarte."
"Si crees que tu paquete pudo haber sido robado, y nno tienes idea que pasó, te comunicaremos con un ejecutivo."+-
"Trabajamos con los siguientes transportistas para entregar los pedidos. UPS, DHL, Amazon, FedEx. Si tienes algún problema con tu entrega, puedes ponerte en contacto directamente con el transportista."
Es posible que veas ligeras diferencias en la información de rastreo que aparece en Mi cuenta y en la información del sitio web del transportista. Cada transportista utiliza sus propios términos para indicar los estados de envío. Amazon simplifica las actualizaciones en Mi cuenta para que resulten más fáciles de entender.
"El transportista intentó la entrega, pero no tuvo éxito. La mayoría de nuestros transportistas realizan más de un intento para entregar un paquete. Si no pueden entregar con éxito el paquete, nos lo devolverán."
"El paquete se dañó en tránsito. Si un paquete se daña durante el tránsito, el transportista puede devolverlo sin intentar entregarlo."
"No podemos volver a enviar pedidos que los transportistas nos devuelven como imposibles de entregar. Si aún quieres comprar artículos que resultaron imposibles de entregar, realiza un nuevo pedido en nuestro sitio web."
"Si sospechas que tu pedido no se puede entregar en la dirección, y no has recibido la confirmación de la devolución o reembolso cuatro semanas después de la fecha estimada de entrega te comunicaremos con un ejecutivo."
"Puedes encontrar la información de rastreo en los detalles del pedido. Si un pedido incluye varios productos, cada uno puede tener fechas de entrega e información de rastreo distintas."
"Los productos que envían los vendedores desde la plataforma de Amazon también pueden rastrearse, pero solo si el vendedor compartió esta información con Amazon y elegiste un método de envío rastreable."
"Cuando el transportista nos devuelve un paquete imposible de entregar, emitimos un reembolso completo (incluidos los costos de envío, excepto algunos cargos de manejo)."
"Puedes mantenerte al tanto de tus devoluciones rastreándolas en Mis pedidos. Solo las devoluciones con una etiqueta prepagada de Mis pedidos son rastreables. Para rastrear tu devolución: Ve a Mis pedidos. Junto al pedido, selecciona Ver Estado de devolución o reembolso."
"Si has recibido un pedido al que le falta un producto o alguna pieza, puedes iniciar un reembolso o reemplazo en Mis pedidos, dependiendo de cómo se haya vendido o enviado el producto: Para los productos vendidos y enviados por Amazon México: Ve a Mis pedidos. Selecciona Devolver o reemplazar productos junto al producto al que le faltan piezas. Selecciona Reembolso o Reemplazo."
"Al devolver un producto, puedes elegir el método de reembolso que prefieras en Mis pedidos. El método de reembolso predeterminado es el método de pago utilizado para realizar la compra, pero si lo prefieres, puedes optar por recibir saldo de Amazon."
"Una vez que el transportista recibe tu producto, pueden pasar hasta dos semanas hasta que recibimos y procesamos tu devolución. Después de recibir el producto, pueden pasar entre 3 y 5 días hábiles hasta que se procese tu devolución y se inicie el proceso de reembolso. Pueden pasar 15 días naturales y hasta 2 ciclos de facturación hasta que el crédito aparezca en el estado de cuenta de tu tarjeta de crédito."
"Puedes verificar el estado de tu reembolso en Mis pedidos.

Si el reembolso no aparece como procesado en Mis pedidos y ha pasado el tiempo de procesamiento de tu método de pago, contáctanos."
"Para la mayoría de los productos, el plazo de devolución es de 30 días a partir de la fecha de entrega. Para verificar el plazo de devolución del producto que compraste, ve a Mis pedidos y selecciona Devolver o reemplazar productos."
"Ve a Mis pedidos y selecciona el pedido que quieres cancelar. Selecciona la casilla al lado de cada producto que quieres eliminar del pedido. Para cancelar todo el pedido, selecciona todos los productos. Selecciona Cancelar los productos marcados cuando termines. Después de enviar la cancelación, te mandaremos un mensaje de confirmación a la dirección de correo electrónico de tu cuenta."
"También puedes confirmar que el pedido se haya cancelado visitando Mis pedidos. Si ves el pedido en la sección Pedidos cancelados, se ha cancelado correctamente. Si Amazon ha enviado tu pedido y no puede modificarse, puedes rechazar la entrega o devolver el paquete a través de nuestro Centro de devoluciones."
"Abre la app y selecciona el botón de menú en la esquina inferior derecha de la pantalla. Desplázate hacia abajo hasta la parte inferior de la página. Selecciona Configuración
Selecciona ¿No eres tú? Cerrar sesión."
"No agregues tus cuentas de Amazon a un dispositivo público o compartido con personas desconocidas, ya que cualquier persona con acceso al dispositivo también tendrá acceso a tus cuentas. Cualquier cuenta nueva de Amazon que se agregue a tu aplicación móvil heredará automáticamente los permisos, como el acceso al álbum de la cámara, y las preferencias, como el idioma. La actualización de la configuración de la aplicación en una cuenta de Amazon se aplica en las demás."
"Cuando cierres sesión en tu dispositivo, solo lo harás en dicho dispositivo específico. Si necesitas cerrar sesión en un dispositivo al que ya no tendrás acceso, inicia sesión en tu cuenta de Amazon desde un navegador de escritorio o móvil y visita la página Administrar contenido y dispositivos. En la pestaña Dispositivos selecciona tu dispositivo en la lista y elige Anular registro."
"Las cuentas con número de teléfono móvil son aquellas que se crean con un número de teléfono móvil en lugar de una dirección de correo electrónico. Después de crear la cuenta, tienes que usar tu número de teléfono móvil para iniciar sesión en todos los tipos de plataforma. Si deseas agregar la opción de iniciar sesión con una dirección de correo electrónico, puedes hacerlo en Mi cuenta , Inicio de sesión y seguridad."
"Una vez que cierres la cuenta, nadie podrá acceder a ella; no podrás acceder al historial de pedidos ni imprimir un comprobante de compra o una factura. Esto también afecta a las cuentas de clientes, funciones y servicios relacionados que están vinculados a su dirección de correo electrónico y contraseña en cualquier sitio de Amazon a nivel mundial y sitios afiliados."
"Actualizar un método de pago en Mis pagos no cambiará el método de pago de los pedidos que hayas hecho que aún estén activos. Para cambiar el método de pago de un pedido activo, ve a Cambiar información del pedido."
"En Mi cuenta, selecciona Mis pagos. Elige una de estas opciones: Para agregar un método de pago, selecciona el enlace Agregar un método de pago en la categoría que deseas agregar. Para editar o eliminar un método de pago, selecciona la tarjeta que deseas editar en el lado izquierdo de la página. La tarjeta se abre en el centro de la página. Haz clic en Editar debajo del nombre de la tarjeta. Puedes actualizar tu dirección de facturación, seleccionar una tarjeta predeterminada, actualizar los datos de la tarjeta o eliminar la tarjeta de tu cuenta. Selecciona Eliminar de Wallet para retirar la tarjeta de tu cuenta. Sigue las instrucciones en pantalla."
"Si hay algún problema con tu pago, cargaremos automáticamente el importe de los productos y servicios elegibles a una tarjeta de respaldo de Tus pagos."
"Selecciona Administrar método de pago de respaldo. Actualiza la configuración del botón de selección según tu preferencia (habilitado o inhabilitado). Revisa y actualiza los métodos de pago archivados mediante las casillas de verificación, y asegúrate de que los métodos que no quieras utilizar como respaldo estén desmarcados. Selecciona Guardar."
"Cuando haces un pedido, Amazon contacta con el banco emisor para confirmar que el método de pago sea válido. El banco retiene los fondos hasta que la transacción se procesa o la autorización vence, pero no es un cargo real. Algunos bancos llaman a las autorizaciones ""cargos pendientes"" o ""en proceso"". Para obtener más información sobre sus políticas específicas en materia de autorizaciones, contacta con el banco emisor."
"Si olvidaste tu contraseña, ve al apartado Restablece tu contraseña. Para actualizar tu contraseña: 1. En Mi cuenta selecciona Datos de identificación y seguridad. 2. Al lado de Contraseña selecciona Editar. 3. Sigue las instrucciones en pantalla y selecciona Guardar los cambios."
"Si tienes problemas para iniciar sesión, es posible que estés ingresando información de cuenta incorrecta o que tengas que restablecer la contraseña."
"Puedes actualizar tu nombre, dirección de correo electrónico, contraseña u otra información de la cuenta.En Mi cuenta ve a Datos de identificación y seguridad. Al lado de la información que quieres actualizar, selecciona Editar. Sigue las instrucciones en pantalla y selecciona Guardar los cambios. Cuando hayas completado todas las actualizaciones, selecciona Finalizado."
"Para canjear tu tarjeta de regalo: Busca el código de canje. Para las tarjetas de regalo físicas, es posible que tengas que raspar en la parte posterior de la tarjeta para ver el código de canje. El código de canje es diferente al número de serie de la tarjeta de 16 dígitos. Ve a Canjea una Tarjeta de Regalo. Introduce tu código de canje y selecciona Aplicar al saldo."
Si tienes problemas para canjear tu tarjeta de regalo revisa los Términos y condiciones de las tarjetas de regalo para asegurarte de que tu pedido cumpla con las reglas y restricciones para pagar con una tarjetas de regalo.
Las Tarjetas de Regalo no pueden usarse para comprar otras Tarjetas de Regalo o aplicarse a un pedido que contenga Tarjetas de Regalo.
"Si el total del pedido es mayor que el saldo de la tarjeta de regalo, cargaremos el monto restante a la tarjeta de pago predeterminada."
"Si recibes un mensaje de error que indica que la tarjeta de regalo o el vale de regalo ya se canjeó, es probable que el código de canje ya se haya canjeado en tu cuenta o en otra cuenta."
"Si enviaste la tarjeta de regalo digital a una dirección de correo electrónico, pídele al destinatario que se asegure de que su proveedor de correo electrónico no ha filtrado el correo en una carpeta de correo no deseado o correo basura."